,dim1,dim2,city,country,region,"GHGe intensity 2004","GHGe intensity 2009","CDD 23C","HDD 15.5C","commerce index","diesel price","gas price","GDP/capita","household size",population,"population density","urban ratio",water_bounded
121,-2.3252963818,-14.6589003696,Mexico City,Mexico,LAC,545,503,113,487,43.33,0.54,0.74,16813.6,3.9,8670,5838.11,76.3,0
122,-12.1794817223,12.1141665393,Milano,Italy,OECD90,575,500,263,1649,54.73,1.63,1.57,38940.6,1.95,3721,2000,67.6,0
123,-12.7657705161,5.4598104633,Milton Keynes,England,OECD90,522,490,7,2240,55.3111428571,1.65,1.44,50372.7,2.52,225,2525.84,79,0
124,11.0006623189,2.5877777553,Minneapolis,USA,OECD90,643,596,193,3512,55.3111428571,0.78,0.56,59580.91,2.53,379,2502.46,80.7,0
125,-10.1988962653,7.5798240645,Monmouthshire and Newport,USA,OECD90,522,490,0,1948,55.3111428571,1.65,1.44,34206.84,2.3187931035,228,219.23,79,1
126,8.7118273629,0.1661665154,Moscow,Russia,REF,614,587,94,3665,44.99,0.86,0.89,17377.54,2.5,8677,4581.24,72.9,0
127,-0.8518967254,-13.4540900623,Msunduzi,South Africa,MAF,899,955,292,93,35.29,0.95,0.87,5472.65,4.58,562,887.02,59.3,0
128,0.2321738863,-12.3293291685,Nakuru,Kenya,MAF,220,384,177,71,35.29,1.14,1.2,804,3.9,95,1413.69,21.7,0
129,-2.831850004,-9.1269541076,Nanchang,China,ASIA,899,812,756,974,46.1127777778,1.01,0.99,7090.74,3.61,4840,656.48,42.5,0
130,-3.667377245,-8.6335133649,"Nanjing, Jiangsu",China,ASIA,899,812,514,1466,46.1127777778,1.01,0.99,13240.54,3.61,6072,920.32,42.5,0
131,-1.2255358013,-9.7620871018,Nanning,China,ASIA,899,812,808,350,46.1127777778,1.01,0.99,3753.89,3.67,6719,300,42.5,0
132,-1.7044654411,-12.3896403946,Nelson Mandela,South Africa,MAF,899,955,114,668,35.29,0.95,0.87,8942.07,3.79,1014,517.55,59.3,1
133,11.2335059188,4.0318813873,New York City,USA,OECD90,643,596,286,1930,72.77,0.78,0.56,60483.93,2.67,8170,6733.15,80.7,1
134,-3.3905945216,-9.7438634977,Ningbo,China,ASIA,899,812,651,1146,46.1127777778,1.01,0.99,14866.33,2.93,5605,570.96,42.5,1
135,-8.352491276,12.1218809774,Norfolk,England,OECD90,522,490,12,1997,55.3111428571,1.65,1.44,28403.01,2.45,833,155.07,79,1
136,11.1355470156,-4.9130726026,Norrköping,Sweden,OECD90,32.3,32.7,15,3254,55.3111428571,1.52,1.38,27663.68,2.05,125,2252,84.3,1
137,-6.8418584113,9.626643384,North and North East Lincolnshire,England,OECD90,522,490,5,2201,55.3111428571,1.65,1.44,29669.36,2.33,318,306.04,79,1
138,-3.4551691705,10.0564432448,North Lanarkshire,England,OECD90,522,490,0,2418,55.3111428571,1.65,1.44,26862.55,2.3187931035,324,689.15,79,0
139,-5.6456636509,10.7575667845,North Nottinghamshire,England,OECD90,522,490,5,2234,55.3111428571,1.65,1.44,26315.41,2.3187931035,439,255.6,79,0
140,-6.9122060392,10.0791811027,North Yorkshire CC,England,OECD90,522,490,2,2263,55.3111428571,1.65,1.44,27979.54,2.33,592,125,79,1
141,-8.6580685857,7.8046652991,Northamptonshire,England,OECD90,522,490,7,2240,55.3111428571,1.65,1.44,34833.15,2.4,669,282.99,79,0
142,-13.8264105394,6.2611417771,Nottingham,England,OECD90,522,490,5,2234,55.3111428571,1.65,1.44,45590.34,2.21,286,3835.95,79,0
143,11.9036625659,-5.4799294038,Örebro,Sweden,OECD90,32.3,32.7,13,3554,55.3111428571,1.52,1.38,28630.09,2.01,128,2111,84.3,0
144,11.6326986407,-6.5812625772,Oslo,Norway,OECD90,,15.4,16,3401,55.3111428571,1.63,1.63,37972.19,1.87,549,1209.17,77.5,1
145,-3.6477961391,12.0221200716,Outer Belfast,Ireland,OECD90,522,490,0,2355,55.3111428571,1.65,1.44,22444.65,2.3187931035,378,255.6,79,1
146,-11.1169229408,5.3680402552,Oxfordshire,England,OECD90,522,490,6,2081,55.3111428571,1.65,1.44,42645.4,2.3187931035,632,242.69,79,0
147,-14.8865262598,4.3245669804,Paris,France,OECD90,79.9,87,71,1481,63.87,1.45,1.52,46691.74,1.75,11491,669.05,81.6,0
148,-11.4244610189,5.1871675892,"Peterborough, UK",England,OECD90,522,490,6,2187,55.3111428571,1.65,1.44,45831.01,2.48,163,475.28,79,0
149,-13.1857735871,10.1800447937,Plymouth,England,OECD90,522,490,0,1791,55.3111428571,1.65,1.44,28545.11,2.14,248,3130.28,79,1
150,10.0789502752,3.552477287,"Portland, OR",USA,OECD90,643,596,102,1874,55.3111428571,0.78,0.56,50768.92,2.52,444,1689,80.7,0
151,-14.1367056752,9.0253528319,Portsmouth,USA,OECD90,522,490,2,2075,55.3111428571,1.65,1.44,36288.07,2.29,196,4879.5,79,1
152,-2.2169034608,-12.932975066,Potchefstroom,South Africa,MAF,899,955,114,668,35.29,0.95,0.87,7779.06,3.5,129,800,59.3,0
153,-6.6706702572,-1.0460079115,Prague,Czech Republic,REF,737,719,49,2751,45.5,1.45,1.37,24816.24,2.34,1200,2419.35,73.7,0
154,-4.7278093466,-8.9402604195,Qingdao,China,ASIA,899,812,286,2040,46.1127777778,1.01,0.99,12403,3.12,7494,679.65,42.5,1
155,-7.002816586,-3.9320351447,Riga,Latvia,REF,278,197,32,3337,42.7875,1.23,1.12,18384.83,2.18,717,2334.21,68,1
156,-1.4311634161,-2.2894602533,Rio de Janeiro,Brasil,LAC,66.8,50.9,597,0,35.91,1.03,1.26,12293.56,2.94,6824,5415.81,82.8,1
157,-11.1728311857,14.8636800852,Roma,Italy,OECD90,575,500,309,1085,45.99,1.63,1.57,36732.91,2.41,2803,2180.41,67.6,0
158,-1.9848999417,-13.4760904602,Saldanha,South Africa,MAF,899,955,131,461,35.29,0.95,0.87,9722.19,3.8,79,44.91,59.3,1
159,-1.4856305294,-2.0461941438,Sao Paulo,Brasil,LAC,66.8,50.9,256,120,42.7,1.03,1.26,12273.05,3.14,10434,6851.18,82.8,0
160,10.4349517441,3.7973532689,Seattle,USA,OECD90,643,596,42,1917,55.3111428571,0.78,0.56,62472.09,2.49,405,2858,80.7,1
161,-2.7086287584,-12.0360619666,Sedibeng,South Africa,MAF,899,955,114,668,35.29,0.95,0.87,5357.9,3.37,884,211.78,59.3,0
162,-8.0144773282,14.2077529035,Sefton,England,OECD90,522,490,2,1969,55.3111428571,1.65,1.44,21268.89,2.32,278,1813.19,79,0
163,-3.0941952711,-8.2040472245,Shanghai,China,ASIA,899,812,601,1147,52.89,1.01,0.99,9584.5,2.89,14503,3700,42.5,1
164,-8.5098759512,9.476138739,Sheffield,England,OECD90,522,490,2,2227,55.3111428571,1.65,1.44,30420.68,2.3,526,1429.85,79,0
165,-7.0936786197,-7.8373480851,Shenyang,China,ASIA,899,812,198,3642,46.1127777778,1.01,0.99,10380.62,3.14,7036,543.63,42.5,0
166,-0.3216311189,-9.1306006979,Shenzhen,China,ASIA,899,812,1074,142,40.04,1.01,0.99,23296.37,3.65,7233,5100,42.5,1
167,-4.7385527827,-9.1897684382,Shijiazhuang,China,ASIA,899,812,367,2395,46.1127777778,1.01,0.99,6252.66,3.28,9395,597.57,42.5,0
168,0.6380544266,-13.3163122265,Shinayanga,Tanzania,MAF,88.8,268,25,1,35.29,1.3,1.11,394,6.2,55,47.5,24.2,0
169,-5.119615368,12.0050190118,Shropshire CC,England,OECD90,522,490,2,2234,55.3111428571,1.65,1.44,24356.08,2.36,289,136,79,0
170,6.3028401439,5.3002993762,Singapore,Malaysia,ASIA,789,671,1876,0,66.16,0.9,1.07,29809.58,3.5,4327,6095.03,100,1
171,-0.5290209514,8.3728673898,Skåne county,Sweden,OECD90,32.3,32.7,9,2838,55.3111428571,1.52,1.38,28871.7,2.3187931035,1169,106.05,84.3,1
172,-5.9183816018,-2.4816022744,Sofia,Bulgaria,REF,628,655,197,2407,42.7875,1.37,1.28,12846.96,1.38,1200,2439.02,70.2,0
173,-4.0027274688,-12.0332793334,Sol Plaatje,South Africa,MAF,899,955,239,2449,35.29,0.95,0.87,9053.62,4.66,197,62.59,59.3,0
174,-7.3073314492,9.3874507465,Somerset,England,OECD90,522,490,1,2229,55.3111428571,1.65,1.44,29479.77,2.33,519,150.39,79,1
175,-6.8016242384,10.3646974097,South and West Derbyshire,England,OECD90,522,490,5,2234,55.3111428571,1.65,1.44,27621.93,2.3187931035,482,388,79,0
176,-6.4827041569,9.7593732196,South Ayrshire,England,OECD90,522,490,0,2241,55.3111428571,1.65,1.44,28750.13,2.3187931035,112,91.41,79,1
177,-5.1117271842,9.0205494231,South Lanarkshire,England,OECD90,522,490,0,2418,55.3111428571,1.65,1.44,29245.1,2.3187931035,308,173.7,79,0
178,-4.7358867617,12.3161361517,South Nottinghamshire,England,OECD90,522,490,5,2234,55.3111428571,1.65,1.44,23644.29,2.3187931035,331,505,79,0
179,-13.7930322157,9.3974219242,Southampton,England,OECD90,522,490,2,1981,55.3111428571,1.65,1.44,36986.4,2.4,229,4416.14,79,0
180,-13.0818742791,10.8360318118,Southend-on-Sea,England,OECD90,522,490,11,1855,55.3111428571,1.65,1.44,26755.93,2.32,160,3836.21,79,1
181,-6.492392469,12.1504944248,Staffordshire CC,England,OECD90,522,490,3,2098,55.3111428571,1.65,1.44,25743.18,2.38,823,314.16,79,0
182,12.9368648081,-4.1512359569,Stockholm,Sweden,OECD90,32.3,32.7,18,3210,56.67,1.52,1.38,45421.58,1.93,1890,291.3,84.3,1
183,-4.0842218226,7.91663949,Stoke-on-Trent,England,OECD90,522,490,2,2234,55.3111428571,1.65,1.44,25911.81,2.26,239,2581.41,79,0
184,-7.1025787112,9.5392408875,Suffolk,England,OECD90,522,490,7,2219,55.3111428571,1.65,1.44,29315.72,2.34,702,184.94,79,1
185,-5.5887065282,8.2717428037,Sunderland,England,OECD90,522,490,0,2443,55.3111428571,1.65,1.44,30801.62,2.3,281,255.6,79,1
186,12.8766169352,-6.0996301143,Sundsvall,Sweden,OECD90,32.3,32.7,5,4255,55.3111428571,1.52,1.38,26576.46,2.02,94,1238,84.3,1
187,-10.9708766297,6.3768740314,Surrey,England,OECD90,522,490,11,2009,55.3111428571,1.65,1.44,40810.11,2.48,1086,653.04,79,0
188,-8.4938448574,11.9757039811,Swansea,England,OECD90,522,490,0,1944,55.3111428571,1.65,1.44,26986.16,2.3,227,601.06,79,1
189,-12.386330262,4.3702900315,Swindon,England,OECD90,522,490,2,2217,55.3111428571,1.65,1.44,51302.13,2.37,187,255.6,79,0
190,9.5412655171,4.9926910109,Sydney,Australia,OECD90,957,914,140,335,58.33,0.94,0.74,40378.33,2.7,4399,362.22,88.2,1
191,-6.0034813705,-9.17434125,"Taiyuan, Shanxi",China,ASIA,899,812,277,2683,46.1127777778,1.01,0.99,8423.11,3.61,3488,600,42.5,0
192,-7.109916944,-3.5625741578,Tallinn,Estonia,REF,1040,1010,19,3554,42.7875,1.3,1.18,26360.38,2.32,398,2500,69.4,1
193,-7.8968345244,8.1579926465,Telford and Wrekin,England,OECD90,522,490,2,2234,55.3111428571,1.65,1.44,32643.88,2.3187931035,162,255.6,79,0
194,-9.1080669358,13.019471989,Thurrock,England,OECD90,522,490,11,1855,55.3111428571,1.65,1.44,28024.23,2.52,149,910.76,79,0
195,-5.1536522248,-8.6316454848,Tianjin,China,ASIA,899,812,424,2315,46.1127777778,1.01,0.99,6392.48,3.07,7040,1255.51,42.5,1
196,-15.6217043984,3.2300799904,Tokyo,Japan,OECD90,421,413,392,1065,66.6,1.3,1.42,33714.05,2.05,12790,5846.43,86,1
197,-10.989153638,12.0662485972,Torino,Italy,OECD90,575,500,44,1954,55.3111428571,1.63,1.57,34933.45,2.06,2121,340,67.6,0
198,10.2707591055,2.4221677741,Toronto,Canada,OECD90,224,174,103,2819,58.16,0.9,0.76,41507.52,2.8,5556,779.78,80.1,1
199,-2.0096744041,-12.1865302526,Pretoria Tshwane,South Africa,MAF,899,955,331,508,35.29,0.95,0.87,16714.06,3.41,1679,460,59.3,0
200,-5.9801203525,7.8670234852,Tyneside,England,OECD90,522,490,0,2443,55.3111428571,1.65,1.44,32205.45,2.3187931035,807,255.6,79,0
201,12.9997427169,-6.1287488384,Umeå,Sweden,OECD90,32.3,32.7,4,4388,55.3111428571,1.52,1.38,28630.09,1.99,111,2141,84.3,1
202,-1.4446658927,-13.5452890548,uMhlatuze,South Africa,MAF,899,955,292,93,35.29,0.95,0.87,9967.93,4.1,360,453.97,59.3,1
203,11.2456469736,-5.353472308,Uppsala,Sweden,OECD90,32.3,32.7,22,3364,55.3111428571,1.52,1.38,29958.92,2.08,183,2879,84.3,0
204,-7.0184198846,-8.2246736072,†rŸmqi (Wulumqi),China,ASIA,899,812,238,3700,46.1127777778,1.01,0.99,9396.32,3.5,2018,210,42.5,0
205,11.9004112277,-4.436331637,Västra Götaland county,Sweden,OECD90,32.3,32.7,33,3295,55.3111428571,1.52,1.38,32133.35,2.13,1528,63.83,84.3,0
206,11.3263352764,-4.7032483042,Växjö,Sweden,OECD90,32.3,32.7,17,3226,55.3111428571,1.52,1.38,28026.08,2.04,77,1795,84.3,0
207,-5.1798305079,4.4040639805,Vienna,Austria,OECD90,258,180,99,2230,52.52,1.43,1.37,41069.09,2,1678,4047.84,66.5,0
208,-6.8882036356,-4.3681423084,Vilnius,Lithuania,REF,,,35,3401,42.7875,1.22,1.13,16014.57,2.4481818182,554,1381.55,66.6,0
209,-8.8876680405,7.5287981518,Warwickshire,England,OECD90,522,490,5,2213,55.3111428571,1.65,1.44,34867.31,2.36,523,264.56,79,0
210,-4.0679993563,11.5639233942,West Cumbria,England,OECD90,522,490,2,2263,55.3111428571,1.65,1.44,23818.38,2.3187931035,236,74,79,1
211,-6.2780415891,7.2012530218,West Lothian,England,OECD90,522,490,0,2483,55.3111428571,1.65,1.44,34139.89,2.3187931035,166,388.06,79,1
212,-9.689375753,6.8805901089,West Sussex,England,OECD90,522,490,9,2078,55.3111428571,1.65,1.44,35963.63,2.3187931035,771,387.29,79,1
213,-7.569399542,10.8230481186,Wiltshire CC,England,OECD90,522,490,4,2139,55.3111428571,1.65,1.44,29634.26,2.42,449,128.9,79,0
214,-8.2589371111,14.5152503801,Wirral,England,OECD90,522,490,2,1916,55.3111428571,1.65,1.44,19717.17,2.28,311,1982.17,79,1
215,-7.0041600813,10.1261319508,Worcestershire,England,OECD90,522,490,3,2211,55.3111428571,1.65,1.44,28731.05,2.31,553,317.63,79,0
216,-2.4929075288,-9.571911724,Wuhan,China,ASIA,899,812,612,1203,46.1127777778,1.01,0.99,9170.95,3.52,8188,1200,42.5,0
217,-1.3074848333,-8.8749687713,Xiamen,China,ASIA,899,812,874,228,46.1127777778,1.01,0.99,21109.99,3.22,1604,2100,42.5,1
218,-4.7507929588,-9.6866229214,"Xi'an, Shaanxi",China,ASIA,899,812,360,1994,46.1127777778,1.01,0.99,5671.94,3.61,7531,850,42.5,0
219,-7.3995380474,-9.2240103695,Xining,China,ASIA,899,812,39,3686,46.1127777778,1.01,0.99,3837.12,4.11,2127,288.56,42.5,0
220,-6.4997686464,-9.1711212801,Yinchuan,China,ASIA,899,812,244,2900,46.1127777778,1.01,0.99,6717.4,3.76,1447,630,42.5,0
221,-8.5862166334,7.0516884077,York,England,OECD90,522,490,3,2248,55.3111428571,1.65,1.44,35594.62,2.37,192,704.57,79,0
222,-5.5074865003,-4.1873246672,Zagreb,Croatia,REF,351,339,189,2204,42.7875,1.37,1.27,18943.17,2.4481818182,786,1226.21,56.4,0
